Rank;School Name;Location;Tuition and Fees (Out-of-State / In-State);;;;;;;;;;;;;;;;;;;;;;
1;Williams College;Williamstown, MA;$68,560;;;;;;;;;;;;;;;;;;;;;;
2;Amherst College;Amherst, MA;$70,480;;;;;;;;;;;;;;;;;;;;;;
3;Swarthmore College;Swarthmore, PA;$65,494;;;;;;;;;;;;;;;;;;;;;;
4;United States Naval Academy;Annapolis, MD;N/A;;;;;;;;;;;;;;;;;;;;;;
5 (tie);Bowdoin College;Brunswick, ME;$67,832;;;;;;;;;;;;;;;;;;;;;;
5 (tie);Pomona College;Claremont, CA;$65,420;;;;;;;;;;;;;;;;;;;;;;
7;Wellesley College;Wellesley, MA;$67,176;;;;;;;;;;;;;;;;;;;;;;
8 (tie);Carleton College;Northfield, MN;$68,892;;;;;;;;;;;;;;;;;;;;;;
8 (tie);Claremont McKenna College;Claremont, CA;$67,980;;;;;;;;;;;;;;;;;;;;;;
8 (tie);United States Air Force Academy;USAF Academy, CO;N/A;;;;;;;;;;;;;;;;;;;;;;
8 (tie);United States Military Academy at West Point;West Point, NY;N/A;;;;;;;;;;;;;;;;;;;;;;
12 (tie);Harvey Mudd College;Claremont, CA;$68,613;;;;;;;;;;;;;;;;;;;;;;
12 (tie);Vassar College;Poughkeepsie, NY;$71,030;;;;;;;;;;;;;;;;;;;;;;
14 (tie);Barnard College;New York, NY;$69,888;;;;;;;;;;;;;;;;;;;;;;
14 (tie);Davidson College;Davidson, NC;$64,160;;;;;;;;;;;;;;;;;;;;;;
14 (tie);Hamilton College;Clinton, NY;$68,960;;;;;;;;;;;;;;;;;;;;;;
14 (tie);Smith College;Northampton, MA;$65,178;;;;;;;;;;;;;;;;;;;;;;
14 (tie);Wesleyan University;Middletown, CT;$70,042;;;;;;;;;;;;;;;;;;;;;;
19 (tie);Grinnell College;Grinnell, IA;$68,106;;;;;;;;;;;;;;;;;;;;;;
19 (tie);Middlebury College;Middlebury, VT;$67,600;;;;;;;;;;;;;;;;;;;;;;
19 (tie);Washington and Lee University;Lexington, VA;$68,045;;;;;;;;;;;;;;;;;;;;;;
22 (tie);Colgate University;Hamilton, NY;$70,306;;;;;;;;;;;;;;;;;;;;;;
22 (tie);University of Richmond;Univ. of Richmond, VA;$65,230;;;;;;;;;;;;;;;;;;;;;;
24;Haverford College;Haverford, PA;$70,398;;;;;;;;;;;;;;;;;;;;;;
25;Colby College;Waterville, ME;$69,600;;;;;;;;;;;;;;;;;;;;;;
26 (tie);Bates College;Lewiston, ME;$66,590;;;;;;;;;;;;;;;;;;;;;;
26 (tie);Macalester College;St. Paul, MN;$68,334;;;;;;;;;;;;;;;;;;;;;;
28;College of the Holy Cross;Worcester, MA;$64,500;;;;;;;;;;;;;;;;;;;;;;
29 (tie);Bryn Mawr College;Bryn Mawr, PA;$65,920;;;;;;;;;;;;;;;;;;;;;;
29 (tie);Colorado College;Colorado Springs, CO;N/A;;;;;;;;;;;;;;;;;;;;;;
31 (tie);Bucknell University;Lewisburg, PA;$67,812;;;;;;;;;;;;;;;;;;;;;;
31 (tie);Franklin & Marshall College;Lancaster, PA;$70,794;;;;;;;;;;;;;;;;;;;;;;
31 (tie);Lafayette College;Easton, PA;$64,648;;;;;;;;;;;;;;;;;;;;;;
34 (tie);Mount Holyoke College;South Hadley, MA;$67,018;;;;;;;;;;;;;;;;;;;;;;
34 (tie);Occidental College;Los Angeles, CA;$66,274;;;;;;;;;;;;;;;;;;;;;;
36 (tie);Denison University;Granville, OH;$67,000;;;;;;;;;;;;;;;;;;;;;;
36 (tie);Pitzer College;Claremont, CA;$65,188;;;;;;;;;;;;;;;;;;;;;;
36 (tie);Skidmore College;Saratoga Springs, NY;$67,140;;;;;;;;;;;;;;;;;;;;;;
36 (tie);Trinity College;Hartford, CT;$70,770;;;;;;;;;;;;;;;;;;;;;;
40 (tie);Berea College;Berea, KY;$726;;;;;;;;;;;;;;;;;;;;;;
40 (tie);Spelman College;Atlanta, GA;$31,556;;;;;;;;;;;;;;;;;;;;;;
40 (tie);Trinity University;San Antonio, TX;$53,676;;;;;;;;;;;;;;;;;;;;;;
40 (tie);Union College (NY);Schenectady, NY;$69,039;;;;;;;;;;;;;;;;;;;;;;
44;Scripps College;Claremont, CA;$65,950;;;;;;;;;;;;;;;;;;;;;;
45 (tie);Dickinson College;Carlisle, PA;$65,650;;;;;;;;;;;;;;;;;;;;;;
45 (tie);Furman University;Greenville, SC;$59,770;;;;;;;;;;;;;;;;;;;;;;
45 (tie);Kenyon College;Gambier, OH;$69,330;;;;;;;;;;;;;;;;;;;;;;
45 (tie);Soka University of America;Aliso Viejo, CA;$38,728;;;;;;;;;;;;;;;;;;;;;;
45 (tie);The University of the South;Sewanee, TN;$56,120;;;;;;;;;;;;;;;;;;;;;;
50 (tie);DePauw University;Greencastle, IN;$59,070;;;;;;;;;;;;;;;;;;;;;;
50 (tie);Hillsdale College;Hillsdale, MI;$33,189;;;;;;;;;;;;;;;;;;;;;;
50 (tie);St. Olaf College;Northfield, MN;$59,760;;;;;;;;;;;;;;;;;;;;;;
53 (tie);Wheaton College (IL);Wheaton, IL;$45,720;;;;;;;;;;;;;;;;;;;;;;
53 (tie);Whitman College;Walla Walla, WA;$64,050;;;;;;;;;;;;;;;;;;;;;;
55 (tie);Connecticut College;New London, CT;$67,242;;;;;;;;;;;;;;;;;;;;;;
55 (tie);Gettysburg College;Gettysburg, PA;$66,640;;;;;;;;;;;;;;;;;;;;;;
55 (tie);Oberlin College;Oberlin, OH;$64,646;;;;;;;;;;;;;;;;;;;;;;
55 (tie);Wabash College;Crawfordsville, IN;$50,800;;;;;;;;;;;;;;;;;;;;;;
59 (tie);Centre College;Danville, KY;$52,820;;;;;;;;;;;;;;;;;;;;;;
59 (tie);Rhodes College;Memphis, TN;$57,110;;;;;;;;;;;;;;;;;;;;;;
59 (tie);St. Lawrence University;Canton, NY;$65,900;;;;;;;;;;;;;;;;;;;;;;
59 (tie);Virginia Military Institute;Lexington, VA;N/A;;;;;;;;;;;;;;;;;;;;;;
63 (tie);Agnes Scott College;Decatur, GA;$50,604;;;;;;;;;;;;;;;;;;;;;;
63 (tie);Reed College;Portland, OR;N/A;;;;;;;;;;;;;;;;;;;;;;
63 (tie);Thomas Aquinas College;Santa Paula, CA;$30,200;;;;;;;;;;;;;;;;;;;;;;
66 (tie);Gustavus Adolphus College;St. Peter, MN;$54,310;;;;;;;;;;;;;;;;;;;;;;
66 (tie);Principia College;Elsah, IL;$34,680;;;;;;;;;;;;;;;;;;;;;;
66 (tie);Wofford College;Spartanburg, SC;$56,005;;;;;;;;;;;;;;;;;;;;;;
69 (tie);Kalamazoo College;Kalamazoo, MI;$60,900;;;;;;;;;;;;;;;;;;;;;;
69 (tie);Lawrence University;Appleton, WI;$56,982;;;;;;;;;;;;;;;;;;;;;;
71 (tie);Bard College;Annandale on Hudson, NY;N/A;;;;;;;;;;;;;;;;;;;;;;
71 (tie);College of St. Benedict;St. Joseph, MN;$55,756;;;;;;;;;;;;;;;;;;;;;;
71 (tie);Muhlenberg College;Allentown, PA;$62,805;;;;;;;;;;;;;;;;;;;;;;
74 (tie);Earlham College;Richmond, IN;$53,930;;;;;;;;;;;;;;;;;;;;;;
74 (tie);Hobart and William Smith Colleges;Geneva, NY;$64,842;;;;;;;;;;;;;;;;;;;;;;
74 (tie);Wheaton College (MA);Norton, MA;$63,960;;;;;;;;;;;;;;;;;;;;;;
77 (tie);The College of Wooster;Wooster, OH;$61,640;;;;;;;;;;;;;;;;;;;;;;
77 (tie);Lake Forest College;Lake Forest, IL;$56,402;;;;;;;;;;;;;;;;;;;;;;
77 (tie);Willamette University;Salem, OR;$51,156;;;;;;;;;;;;;;;;;;;;;;
80 (tie);Allegheny College;Meadville, PA;$56,550;;;;;;;;;;;;;;;;;;;;;;
80 (tie);Saint John's University;Collegeville, MN;$55,816;;;;;;;;;;;;;;;;;;;;;;
80 (tie);Saint Mary's College;Notre Dame, IN;$53,230;;;;;;;;;;;;;;;;;;;;;;
83 (tie);Austin College;Sherman, TX;$48,655;;;;;;;;;;;;;;;;;;;;;;
83 (tie);Drew University;Madison, NJ;$47,100;;;;;;;;;;;;;;;;;;;;;;
83 (tie);Knox College;Galesburg, IL;$57,903;;;;;;;;;;;;;;;;;;;;;;
83 (tie);Southwestern University;Georgetown, TX;$53,613;;;;;;;;;;;;;;;;;;;;;;
83 (tie);St. John's College (MD);Annapolis, MD;$40,684;;;;;;;;;;;;;;;;;;;;;;
83 (tie);Stonehill College;Easton, MA;$57,490;;;;;;;;;;;;;;;;;;;;;;
83 (tie);Ursinus College;Collegeville, PA;$61,010;;;;;;;;;;;;;;;;;;;;;;
90 (tie);Hope College;Holland, MI;$38,530;;;;;;;;;;;;;;;;;;;;;;
90 (tie);Juniata College;Huntingdon, PA;$58,580;;;;;;;;;;;;;;;;;;;;;;
90 (tie);Saint Anselm College;Manchester, NH;$48,920;;;;;;;;;;;;;;;;;;;;;;
90 (tie);St. Norbert College;De Pere, WI;$45,580;;;;;;;;;;;;;;;;;;;;;;
90 (tie);Washington & Jefferson College;Washington, PA;$29,570;;;;;;;;;;;;;;;;;;;;;;
95 (tie);Beloit College;Beloit, WI;$60,886;;;;;;;;;;;;;;;;;;;;;;
95 (tie);Morehouse College;Atlanta, GA;$32,893;;;;;;;;;;;;;;;;;;;;;;
95 (tie);University of Puget Sound;Tacoma, WA;$62,898;;;;;;;;;;;;;;;;;;;;;;
95 (tie);Washington College;Chestertown, MD;$55,326;;;;;;;;;;;;;;;;;;;;;;
95 (tie);Whittier College;Whittier, CA;$51,350;;;;;;;;;;;;;;;;;;;;;;
100 (tie);Augustana College;Rock Island, IL;$51,598;;;;;;;;;;;;;;;;;;;;;;
100 (tie);Lycoming College;Williamsport, PA;$49,804;;;;;;;;;;;;;;;;;;;;;;
100 (tie);St. Mary's College of Maryland;St. Marys City, MD;$31,312 / $15,236;;;;;;;;;;;;;;;;;;;;;;
National Liberal Arts Colleges Rankings;;;;;;;;;;;;;;;;;;;;;;;;;
Schools in the National Liberal Arts Colleges category, such as Stonehill College and Bates College, emphasize undergraduate education and award at least half of their degrees in the liberal arts fields of study.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
