Rank;University;Location;Tuition & Fees (Out-of-State / In-State)
1;Princeton University;Princeton, NJ;$62,400
2;Massachusetts Institute of Technology;Cambridge, MA;$62,396
3;Harvard University;Cambridge, MA;$61,676
4;Stanford University;Stanford, CA;$65,910
5;Yale University;New Haven, CT;$67,250
6 (tie);California Institute of Technology;Pasadena, CA;$65,898
6 (tie);Duke University;Durham, NC;$69,140
6 (tie);Johns Hopkins University;Baltimore, MD;$65,230
6 (tie);Northwestern University;Evanston, IL;$68,322
10;University of Pennsylvania;Philadelphia, PA;$68,686
11 (tie);Cornell University;Ithaca, NY;$69,314
11 (tie);University of Chicago;Chicago, IL;$69,324
13 (tie);Brown University;Providence, RI;$71,312
13 (tie);Columbia University;New York, NY;N/A
15 (tie);Dartmouth College;Hanover, NH;$68,019
15 (tie);University of California--Los Angeles;Los Angeles, CA;$46,503 / $14,208
17;University of California, Berkeley;Berkeley, CA;$51,032 / $16,832
18 (tie);Rice University;Houston, TX;$60,709
18 (tie);University of Notre Dame;Notre Dame, IN;$65,025
18 (tie);Vanderbilt University;Nashville, TN;$67,498
21 (tie);Carnegie Mellon University;Pittsburgh, PA;$65,636
21 (tie);University of Michigan--Ann Arbor;Ann Arbor, MI;$63,081 / $18,848
21 (tie);Washington University in St. Louis;St. Louis, MO;$65,790
24 (tie);Emory University;Atlanta, GA;$64,280
24 (tie);Georgetown University;Washington, DC;$68,016
24 (tie);University of Virginia;Charlottesville, VA;$60,907 / $23,118
27 (tie);University of North Carolina--Chapel Hill;Chapel Hill, NC;$41,211 / $9,003
27 (tie);University of Southern California;Los Angeles, CA;$71,647
29;University of California, San Diego;La Jolla, CA;$51,015 / $16,815
30 (tie);New York University;New York, NY;$62,796
30 (tie);University of Florida;Gainesville, FL;$28,658 / $6,381
30 (tie);The University of Texas--Austin;Austin, TX;$42,778 / $11,678
33 (tie);Georgia Institute of Technology;Atlanta, GA;$34,484 / $12,058
33 (tie);University of California, Davis;Davis, CA;$47,682 / $15,794
33 (tie);University of California--Irvine;Irvine, CA;$46,626 / $14,737
33 (tie);University of Illinois Urbana-Champaign;Champaign, IL;$36,760 / $17,640
37 (tie);Boston College;Chestnut Hill, MA;$70,702
37 (tie);Tufts University;Medford, MA;$70,704
39 (tie);University of California, Santa Barbara;Santa Barbara, CA;$47,755 / $15,460
39 (tie);University of Wisconsin--Madison;Madison, WI;$42,103 / $11,603
41 (tie);Boston University;Boston, MA;$68,102
41 (tie);The Ohio State University;Columbus, OH;$40,022 / $13,244
41 (tie);Rutgers University--New Brunswick;Piscataway, NJ;$37,441 / $17,929
44 (tie);University of Maryland, College Park;College Park, MD;$41,186 / $11,808
44 (tie);University of Rochester;Rochester, NY;$67,124
46 (tie);Lehigh University;Bethlehem, PA;$64,980
46 (tie);Purdue University--Main Campus;West Lafayette, IN;$28,794 / $9,992
46 (tie);University of Georgia;Athens, GA;$31,678 / $11,440
46 (tie);University of Washington;Seattle, WA;$43,209 / $12,973
46 (tie);Wake Forest University;Winston-Salem, NC;$67,642
51 (tie);Case Western Reserve University;Cleveland, OH;$66,605
51 (tie);Texas A&M University;College Station, TX;$40,307 / $12,413
51 (tie);Virginia Tech;Blacksburg, VA;$37,158 / $15,948
54 (tie);Florida State University;Tallahassee, FL;$21,683 / $6,517
54 (tie);Northeastern University;Boston, MA;$66,162
54 (tie);University of Minnesota--Twin Cities;Minneapolis, MN;$38,362 / $17,214
54 (tie);William & Mary;Williamsburg, VA;$50,752 / $26,019
58 (tie);North Carolina State University;Raleigh, NC;$33,034 / $8,986
58 (tie);Stony Brook University--SUNY;Stony Brook, NY;$32,454 / $10,644
58 (tie);University of California, Merced;Merced, CA;$46,905 / $14,610
58 (tie);University of Massachusetts--Amherst;Amherst, MA;$40,449 / $17,772
63 (tie);George Washington University;Washington, DC;$67,710
63 (tie);Michigan State University;East Lansing, MI;$45,178 / $18,826
63 (tie);The Pennsylvania State University;University Park, PA;$41,790 / $20,644
63 (tie);Santa Clara University;Santa Clara, CA;$61,293
63 (tie);Tulane University of Louisiana;New Orleans, LA;$68,678
63 (tie);University of Miami;Coral Gables, FL;$62,616
70 (tie);Rensselaer Polytechnic Institute;Troy, NY;$64,081
70 (tie);University of Connecticut;Storrs, CT;$43,712 / $21,044
70 (tie);University of Pittsburgh;Pittsburgh, PA;$41,430 / $21,926
73 (tie);Binghamton University--SUNY;Binghamton, NY;$30,243 / $10,363
73 (tie);Indiana University--Bloomington;Bloomington, IN;$41,891 / $12,144
73 (tie);Syracuse University;Syracuse, NY;$65,528
76 (tie);Colorado School of Mines;Golden, CO;$44,376 / $21,186
76 (tie);Stevens Institute of Technology;Hoboken, NJ;$63,462
76 (tie);University at Buffalo--SUNY;Buffalo, NY;$30,571 / $10,781
76 (tie);University of California, Riverside;Riverside, CA;$48,516 / $14,316
80 (tie);Clemson University;Clemson, SC;$39,498 / $15,554
80 (tie);Pepperdine University;Malibu, CA;$69,918
80 (tie);Rutgers University--Newark;Newark, NJ;$36,762 / $17,250
80 (tie);University of Illinois Chicago;Chicago, IL;$33,726 / $18,180
84 (tie);New Jersey Institute of Technology;Newark, NJ;$35,912 / $19,000
84 (tie);University of California, Santa Cruz;Santa Cruz, CA;$50,183 / $15,983
86 (tie);Drexel University;Philadelphia, PA;$62,412
86 (tie);Howard University;Washington, DC;$35,810
86 (tie);Marquette University;Milwaukee, WI;$51,170
86 (tie);University of Delaware;Newark, DE;$41,400 / $16,810
86 (tie);Worcester Polytechnic Institute;Worcester, MA;$60,765
91 (tie);American University;Washington, DC;$58,772
91 (tie);Baylor University;Waco, TX;$58,100
91 (tie);Fordham University;New York, NY;$64,470
91 (tie);Loyola Marymount University;Los Angeles, CA;$61,862
91 (tie);Rochester Institute of Technology;Rochester, NY;$59,274
91 (tie);Southern Methodist University;Dallas, TX;$67,038
91 (tie);University of South Florida;Tampa, FL;$17,324 / $6,410
98 (tie);Florida International University;Miami, FL;$18,964 / $6,566
98 (tie);Gonzaga University;Spokane, WA;$55,480
98 (tie);Rutgers University--Camden;Camden, NJ;$37,276 / $17,764
98 (tie);Temple University;Philadelphia, PA;$38,837 / $22,914
98 (tie);University of Colorado Boulder;Boulder, CO;$43,622 / $14,002
98 (tie);University of Iowa;Iowa City, IA;$33,371 / $11,283
98 (tie);Yeshiva University;New York, NY;$51,800
Best National University Rankings;;;
Schools in the National Universities category, such as the University of South Dakota and the University of Connecticut, offer a full range of undergraduate majors, plus master's and doctoral programs. These colleges also are committed to producing groundbreaking research.;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
